ID_PERSON,AS_ACTOR,AS_COMPOSER,AS_DIRECTOR,PERSON_NAME
nm0000011,tt0015766|tt0016052|tt0016534|tt0017400|tt0017567|tt0017637|tt0017751|tt0018033|tt0018080|tt0018199|tt0018578|tt0018681|tt0018846|tt0019098|tt0019375|tt0019687|tt0020556|tt0020595|tt0021112|tt0021156|tt0021219|tt0021232|tt0021357|tt0021412|tt0021463|tt0021750|tt0021861|tt0021963|tt0022814|tt0022879|tt0023049|tt0023753|tt0023940|tt0024414|tt0024675|tt0025580|tt0025607|tt0026643|tt0026866|tt0027189|tt0027515|tt0027664|tt0027996|tt0028108|tt0029593|tt0029842|tt0029929|tt0030018|tt0031088|tt0031842|tt0032850|tt0033253|tt0033373|tt0033891|tt0034167|tt0035211|tt0035896|tt0036699|tt0037316|tt0037508|tt0038053|tt0038417|tt0039931|tt0040395|tt0041386|tt0041948|tt0042285|tt0042372|tt0043469|tt0043680|tt0044224|tt0044706|tt0045184|tt0045563|tt0046238|tt0047013|tt0047647|tt0047956|tt0049233|tt0050658|tt0051899|tt0052283|tt0052876|tt0053351|tt0053455|tt0055214,,,Gary Cooper
nm0000012,tt0020875|tt0021636|tt0022360|tt0022550|tt0022551|tt0022735|tt0022802|tt0022991|tt0023181|tt0023394|tt0023491|tt0023590|tt0023731|tt0023856|tt0023993|tt0024426|tt0024785|tt0024890|tt0025101|tt0025129|tt0025273|tt0025330|tt0025586|tt0026129|tt0026261|tt0026388|tt0026413|tt0027029|tt0027687|tt0028096|tt0028219|tt0029058|tt0029080|tt0029217|tt0029650|tt0030287|tt0030755|tt0031210|tt0031516|tt0031750|tt0031826|tt0032194|tt0032701|tt0033432|tt0033677|tt0033836|tt0033874|tt0034890|tt0035140|tt0036230|tt0036422|tt0036515|tt0036922|tt0037094|tt0037614|tt0038461|tt0038984|tt0040499|tt0040971|tt0041172|tt0042192|tt0043910|tt0044364|tt0045029|tt0045186|tt0048791|tt0049061|tt0049800|tt0052946|tt0053247|tt0055312|tt0056687|tt0057997|tt0058213|tt0058413|tt0058745|tt0059496|tt0062671|tt0066870|tt0066943|tt0067375|tt0069235|tt0070657|tt0074258|tt0074411|tt0077413|tt0078158|tt0079956|tt0081526|tt0081738|tt0084494|tt0086198|tt0089640|tt0090663|tt0094315|tt0098649,,,Bette Davis
nm0000013,tt0040745|tt0041515|tt0041671|tt0043030|tt0043123|tt0043153|tt0043669|tt0043762|tt0043880|tt0044070|tt0044075|tt0044370|tt0045332|tt0045586|tt0045591|tt0047194|tt0047688|tt0048317|tt0049388|tt0049470|tt0050814|tt0052278|tt0052325|tt0052933|tt0053172|tt0054084|tt0054188|tt0055100|tt0055797|tt0056575|tt0057329|tt0057581|tt0058571|tt0059112|tt0060463|tt0061380|tt0061447|tt0063801|tt0063821,,,Doris Day
nm0000014,tt0026055|tt0026174|tt0026534|tt0026714|tt0027300|tt0027438|tt0028679|tt0028953|tt0029058|tt0029843|tt0030151|tt0030192|tt0031235|tt0031826|tt0032130|tt0032829|tt0032963|tt0033021|tt0033722|tt0034236|tt0034277|tt0034890|tt0035020|tt0035952|tt0036277|tt0036422|tt0038455|tt0038474|tt0039040|tt0039098|tt0040806|tt0041452|tt0044937|tt0048432|tt0048712|tt0048944|tt0052097|tt0053003|tt0056183|tt0058213|tt0058283|tt0065374|tt0067721|tt0075648|tt0078350|tt0079152|tt0082779|tt0084609|tt0096460,,,Olivia de Havilland
nm0000015,tt0048028|tt0048545|tt0049261,,,James Dean
nm0000016,tt0066989,tt0017736|tt0018523|tt0018826|tt0051561|tt0052086|tt0052614|tt0052698|tt0052893|tt0053814|tt0053833|tt0053964|tt0054094|tt0054259|tt0054389|tt0054426|tt0054605|tt0054621|tt0054769|tt0054838|tt0055032|tt0055194|tt0055292|tt0055747|tt0055832|tt0055935|tt0056248|tt0056845|tt0056917|tt0056921|tt0057073|tt0057151|tt0057176|tt0057243|tt0057345|tt0057370|tt0057414|tt0057635|tt0057967|tt0058203|tt0058232|tt0058306|tt0058458|tt0058500|tt0059435|tt0059458|tt0059589|tt0059608|tt0059633|tt0059831|tt0059840|tt0059956|tt0060665|tt0060908|tt0062083|tt0062089|tt0062445|tt0062830|tt0063067|tt0063136|tt0063771|tt0064030|tt0064146|tt0064232|tt0064378|tt0064423|tt0064425|tt0065195|tt0065521|tt0065565|tt0065571|tt0066251|tt0066579|tt0066799|tt0066989|tt0067216|tt0067386|tt0067436|tt0068378|tt0069442|tt0069688|tt0069946|tt0069947|tt0070056|tt0070460|tt0071550|tt0073155|tt0073163|tt0073192|tt0074524|tt0075082|tt0076245|tt0076246|tt0076808|tt0076867|tt0077308|tt0078079|tt0078122|tt0078757|tt0078771|tt0079477|tt0080610|tt0081758|tt0082275|tt0082370|tt0082436|tt0082992|tt0082993|tt0083232|tt0083900|tt0084247|tt0084259|tt0084477|tt0084479|tt0085141|tt0085248|tt0085513|tt0085530|tt0085895|tt0086312|tt0086551|tt0086655|tt0086988|tt0087645|tt0087742|tt0088115|tt0088683|tt0088713|tt0088734|tt0088997|tt0089112|tt0089569|tt0090080|tt0090177|tt0090874|tt0090886|tt0090933|tt0091513|tt0091763|tt0091886|tt0091958|tt0092038|tt0092104|tt0092236|tt0092978|tt0093179|tt0093431|tt0093476|tt0093737|tt0094208|tt0094715|tt0094746|tt0094872|tt0095288|tt0095333|tt0095613|tt0095823|tt0096189|tt0096280|tt0096320|tt0097417|tt0097500|tt0098384|tt0099892|tt0100606|tt0101324|tt0101465|tt0101531|tt0101635|tt0102167|tt0102458|tt0102770|tt0103275|tt0103932|tt0104105|tt0104804|tt0105256|tt0140357|tt0154551|tt0155685|tt0155955|tt0163618|tt0163653|tt0179850|tt0185786|tt0192458|tt0218124|tt0218158|tt0237606|tt0260181|tt0263715|tt0338183|tt0483352|tt1742023|tt2246829,,Georges Delerue
nm0000017,tt0017726|tt0018588|tt0019918|tt0020011|tt0020371|tt0020697|tt0021156|tt0021800|tt0022698|tt0023458|tt0024598|tt0025746|tt0026276|tt0027515|tt0027657|tt0028575|tt0029087|tt0031225|tt0033038|tt0033606|tt0034961|tt0035034|tt0035195|tt0035369|tt0036984|tt0038728|tt0039428|tt0040367|tt0042994|tt0043859|tt0045070|tt0049520|tt0051201|tt0055031|tt0055801|tt0079867,,,Marlene Dietrich
nm0000018,tt0038988|tt0039482|tt0039636|tt0039689|tt0040626|tt0040949|tt0041239|tt0041587|tt0042509|tt0043153|tt0043276|tt0043338|tt0043465|tt0044391|tt0044419|tt0044420|tt0045941|tt0046374|tt0046480|tt0046672|tt0047630|tt0048204|tt0048340|tt0048531|tt0049456|tt0050468|tt0050825|tt0051097|tt0052365|tt0052735|tt0052993|tt0054331|tt0054345|tt0055073|tt0055539|tt0056195|tt0056625|tt0057067|tt0057152|tt0057254|tt0058576|tt0059263|tt0059309|tt0060218|tt0060814|tt0062472|tt0062479|tt0062760|tt0063246|tt0064041|tt0066448|tt0067168|tt0067297|tt0067345|tt0069446|tt0070002|tt0070642|tt0071862|tt0073190|tt0073559|tt0075391|tt0077332|tt0077588|tt0079285|tt0079302|tt0080097|tt0080736|tt0084296|tt0084585|tt0085473|tt0087174|tt0088713|tt0092105|tt0095373|tt0103194|tt0105343|tt0109936|tt0111353|tt0167423|tt0290218|tt0311110|tt1462446,,tt0070642|tt0073559,Kirk Douglas
nm0000019,tt0040092|tt0075793|tt0086412,,tt0042692|tt0044000|tt0045504|tt0046521|tt0047528|tt0047876|tt0050783|tt0053779|tt0055805|tt0056801|tt0059229|tt0063715|tt0064940|tt0066922|tt0069191|tt0071129|tt0074291|tt0079759|tt0080539|tt0087188|tt0091113|tt0093267|tt0098606|tt11669728,Federico Fellini
nm0000020,tt0026338|tt0026507|tt0027185|tt0027979|tt0028401|tt0029579|tt0029650|tt0029785|tt0029808|tt0029924|tt0030256|tt0030287|tt0030396|tt0030775|tt0031252|tt0031507|tt0031566|tt0031981|tt0032155|tt0032321|tt0032551|tt0032710|tt0032983|tt0033804|tt0034393|tt0034407|tt0034514|tt0035016|tt0035020|tt0035258|tt0035415|tt0036037|tt0036244|tt0038762|tt0039294|tt0039402|tt0039581|tt0040369|tt0040664|tt0045031|tt0048380|tt0049934|tt0050083|tt0051087|tt0051207|tt0052235|tt0053043|tt0053434|tt0053808|tt0055728|tt0056085|tt0056197|tt0057523|tt0057883|tt0058083|tt0058580|tt0058947|tt0059108|tt0059661|tt0060165|tt0062309|tt0062482|tt0062755|tt0062975|tt0063256|tt0063829|tt0064116|tt0065542|tt0066448|tt0067774|tt0069251|tt0069693|tt0069736|tt0070215|tt0070598|tt0074589|tt0074662|tt0074899|tt0075771|tt0076636|tt0076809|tt0077539|tt0077691|tt0078976|tt0079550|tt0080116|tt0080789|tt0081273|tt0082846|tt0083141|tt0301109|tt1272023,,,Henry Fonda
